KÛd;⁄zemn· jednotka;bez ukonËenÈho vzdelania ñ osoby vo veku 0-14 rokov (abs.);z·kladnÈ vzdelanie (abs.);strednÈ odbornÈ (uËÚovskÈ) vzdelanie (bez maturity) (abs.);˙plnÈ strednÈ vzdelanie (s maturitou) (abs.);vyööie odbornÈ vzdelanie (abs.);vysokoökolskÈ vzdelanie (abs.);bez ökolskÈho vzdelania ñ osoby vo veku 15 rokov a viac (abs.);nezistenÈ (abs.)
SK0227514268;Nov·ky;350;619;1013;1174;211;631;11;188
SK0227514284;Opatovce nad Nitrou;129;233;430;451;76;201;1;31
SK0227514292;Oslany;255;429;606;630;115;276;5;56
SK0227514306;Podhradie (Okres Prievidza);20;59;110;65;10;23;0;8
SK0227514314;Poluvsie;41;67;127;148;37;93;0;22
SK0227514322;Poruba;143;210;370;377;80;164;3;29
SK0227514331;Pravenec;116;190;332;348;75;198;3;43
SK0227514349;Radobica;61;95;146;147;22;68;0;13
SK0227514357;R·ztoËno;112;179;297;355;70;182;1;39
SK0227514365;Rudnianska Lehota;78;103;218;202;33;82;0;20
SK0227514373;Sebedraûie;173;275;495;442;91;202;3;34
SK0227514381;SeË;42;66;101;103;20;48;3;11
SK0227514390;ä˙tovce;47;66;126;113;30;55;0;7
SK0227514403;Temeö;9;45;70;58;7;17;0;6
SK0227514411;Tuûina;105;224;375;335;57;92;9;11
SK0227514420;Valask· Bel·;184;324;631;481;99;205;4;66
SK0227514438;Veæk· »ausa;60;75;147;147;21;56;1;12
SK0227514454;Zemianske Kostoæany;167;303;427;481;82;217;0;56
SK0227557706;LipnÌk;64;75;119;171;30;96;1;7
SK0227557714;Jalovec (Okres Prievidza);46;93;140;163;23;94;2;5
SK0228500348;Zub·k;67;171;279;198;21;76;1;16
SK0228512851;Beluöa;720;747;1320;1731;389;1075;10;170
SK0228512940;DohÚany;217;308;468;510;89;236;3;28
SK0228512958;Doln· Breznica;140;167;304;225;58;86;3;21
SK0228513121;Horovce (Okres P˙chov);84;127;206;243;52;111;1;16
SK0228513300;Lazy pod Makytou;118;180;330;321;65;144;4;47
SK0228513318;Lednica;94;187;278;228;44;97;2;10
SK0228513326;LednickÈ Rovne;401;592;969;1141;238;499;11;113
SK0228513334;L˙ky;100;133;249;248;64;109;3;18
SK0228513342;Lys· pod Makytou;227;380;586;465;121;227;4;55
SK0228513377;MesteËko;49;72;133;147;41;77;1;3
SK0228513407;MojtÌn;32;75;161;92;25;42;0;5
SK0228513610;P˙chov;1814;2195;3229;4848;1106;3432;44;804
SK0228513776;Visolaje;140;132;272;234;66;100;0;27
SK0228513814;Z·rieËie;74;92;166;206;44;103;2;16
SK0228557439;DolnÈ KoËkovce;128;145;289;346;68;206;5;18
SK0228557447;Nimnica;92;140;151;170;48;102;2;11
SK0228557471;Streûenice;151;126;207;327;60;161;0;14
SK0228557498;Vydrn·;18;43;91;85;23;36;0;1
SK0228557501;Kvaöov;58;146;207;164;30;37;1;10
SK0228557692;Horn· Breznica;67;85;163;135;15;31;2;7
SK0229505820;TrenËÌn;5374;5821;8614;14700;3130;14718;62;2321
SK0229505838;AdamovskÈ Kochanovce;114;94;158;220;52;178;44;12
SK0229505854;Bobot;73;120;222;184;36;93;4;13
SK0229505935;Doln· Poruba;75;136;272;194;28;69;3;14
SK0229505943;Doln· S˙Ëa;373;451;896;806;147;334;4;48
SK0229505960;Drietoma;227;352;577;579;111;303;10;74
SK0229505978;Dubodiel;91;109;237;340;48;138;4;4
SK0229506010;Horn· S˙Ëa;353;621;1045;708;158;315;3;98
SK0229506028;HorÚany;50;71;124;102;24;49;0;9
SK0229506036;HornÈ Srnie;290;375;734;673;140;421;8;66
SK0229506044;Hrabovka;47;62;115;113;20;58;1;11
SK0229506087;Chocholn·-VelËice;166;257;419;468;71;268;0;46
SK0229506095;Ivanovce;147;152;227;307;42;137;2;18
SK0229506133;Kostoln·-Z·rieËie;84;76;164;175;39;139;2;12
SK0229506168;Krivos˙d-Bodovka;36;51;94;89;22;64;0;2
SK0229506231;MnÌchova Lehota;120;168;340;312;72;191;3;15
SK0229506273;Moteöice;72;121;226;215;42;101;1;4
SK0229506281;Nemöov·;741;840;1523;1631;324;1086;11;179
SK0229506290;Neporadza (Okres TrenËÌn);83;99;244;221;39;86;2;9
SK0229506354;Omöenie;194;255;601;486;116;175;4;54
SK0229506371;Opatovce;44;67;133;88;24;67;1;1
SK0229506478;Selec;106;154;305;254;45;134;6;3
SK0229506508;Soblahov;254;377;544;571;115;516;0;31
SK0229506532;Svinn·;172;200;397;416;87;250;4;65
SK0229506541;ätvrtok;59;45;100;110;24;83;0;3
SK0229506559;TrenËianska Tepl·;467;543;913;1143;271;770;6;109
SK0229506567;TrenËianska Turn·;426;504;723;940;170;751;6;43
SK0229506591;TrenËianske Jastrabie;138;159;323;351;66;186;2;27
SK0229506605;TrenËianske Mitice;77;124;242;200;39;99;1;5
SK0229506613;TrenËianske Teplice;331;375;666;1184;277;931;5;211
SK0229506648;Veæk· Hradn·;97;113;154;211;29;154;0;13
SK0229506656;VeækÈ Bierovce;96;107;186;142;37;127;2;11
SK0229545686;MelËice-LieskovÈ;217;214;373;447;86;286;1;27
SK0229545741;TrenËianske Stankovce;431;416;766;922;193;586;8;81
SK0229546682;Skalka nad V·hom;132;166;289;297;72;186;3;21
SK0229556475;Zamarovce;170;153;181;297;58;272;2;30
SK0229581348;Petrova Lehota;24;31;67;42;11;19;0;5
SK0231501026;Kom·rno;2823;4756;5929;8562;1910;6113;52;2822
SK0231501034;BajË;136;355;278;232;51;90;9;72
SK0231501042;Bodza;40;96;105;68;17;37;1;17
SK0231501069;Brestovec (Okres Kom·rno);49;111;140;119;18;39;2;7
SK0231501077;B˙Ë;105;245;349;257;53;116;1;22
SK0231501085;»alovec;85;316;346;214;43;50;3;57
SK0231501093;»ÌËov;87;293;351;249;56;116;2;77
SK0231501107;Dedina Ml·deûe;52;103;113;96;16;39;1;18
SK0231501115;Sv‰t˝ Peter;245;679;747;546;119;282;10;107
